,FastHours,age,alcw,weight,height,waist,neck,BMI,bsa,sbp,dbp,abi,HbA1c,FPG,HbA1cIFCC,ldl,hdl,trigs,totchol,LEPTIN,HSCRP,ENDOTHELIN,ALDOSTERONE,cystatinC,sCort,adiponectin,SCrCC,SCrIDMS,eGFRmdrd,eGFRckdepi,maneuvers,FVC,FEV1,FEV6,FEV1PP,FVCPP,EF,ecgHR,QRS,QT,QTcFram,QTcBaz,QTcHod,QTcFrid,CV,dailyDiscr,lifetimeDiscrm,perceivedStress,vitaminD3,FakeCensusTractID,nbmedHHincome,nbpctpoverty,nbpctBlackNH,nbpctWhiteNH,nbSESpc2score,nbSESanascore,nbProblems,nbCohesion,nbViolence,nbK3FavorFoodstore,nbK3paFacilities,nbPopDensity1mi,sportIndex,hyIndex,activeIndex,years,days
FastHours,1.0,0.008816381720047676,-0.014349966586430018,-0.036695961512873354,-0.035998779808700254,-0.05101302449731661,-0.04431689399021264,-0.021492905399955835,-0.04295492964215609,-0.0012904813473793514,0.017756596096769703,-0.003185260912989587,-0.18753443091169394,-0.05876756202961781,-0.18753843334438483,0.03307016558733865,0.03752961844354556,-0.04960691307623828,0.028939791057388135,0.011415120454971504,0.02692554119168826,0.0331567806615588,-0.0031799028483050504,0.010813444739677274,-0.025811857031986872,-0.013067951577113813,0.010551293047567096,0.011055854547962476,-0.03979208347401064,-0.0340450276219734,-0.005098109636716281,0.0077199330670085844,-0.0015106900361285041,0.008707066856072537,0.04600987736463628,0.0577853052649257,0.03594104519088258,-0.04991597163764084,0.0027561507917597057,0.04580210125417343,0.023223464801827104,0.0019773227167594913,0.023341912599316766,0.023632364671316186,-0.035994700972398194,-0.011639305489796222,0.017989475900023037,-0.021772478826659118,-0.012305377699755668,-0.00474646908904944,0.025338102629140036,-0.02640636881657721,0.007175623474035974,-0.008246193146982944,0.0011561970812456414,0.0091759707453006,0.010691174351949044,-0.006387538603652867,0.01254775306844442,-0.03340921508596467,-0.031643590649118786,-0.005921683655407097,0.028262161748134906,0.02463479760376281,0.04832630610472643,0.05965213099104541,0.05965213098988801
age,0.008816381720047676,1.0,-0.09255970081761636,-0.1252286089227784,-0.09949594427139453,0.04632046696461186,-0.026400134856636042,-0.07867658197812671,-0.13133181460491303,0.33232975211039606,-0.1195594900368938,-0.0725094627465695,0.19999350463528187,0.20800631012038046,0.1999941639030305,0.05880085359601858,0.13836819677469775,0.13356020598802903,0.1464795024721397,-0.00014959028451686776,-0.0015691682649580823,0.14634656377433636,0.030852166984283228,0.3845974088728822,0.12858073801974682,0.13602796516247403,0.11708867314313752,0.11783938994694698,-0.4003017061299942,-0.5430905206488205,-0.009168942958306524,-0.36150410771581526,-0.433951543454247,-0.3852810365475778,0.012488125576220485,-0.013815235535775742,0.11539323371561702,-0.0745224362112151,0.14512333493908772,0.2162182143852674,0.19710458748751167,0.15058570039564323,0.22905859814049984,0.2092678039423484,0.13407149799736223,-0.2025090603663781,-0.08508673953913516,-0.29867745148949215,0.15604377065483355,0.06917824283361511,-0.15639186219169643,0.18195023934209575,0.24538949678634422,-0.24549167918265624,0.10065755901314566,-0.16657807152678056,0.16076160239536677,0.000274100816002501,0.14021499858160272,0.18704696550340358,0.030931603790921462,0.18231238748672043,-0.11111279741654158,-0.14698183290559239,-0.11146257810216469,0.037469617889274776,0.03746961788712804
alcw,-0.014349966586430018,-0.09255970081761636,1.0,-0.045531835026096416,0.18435920213412468,-0.06326265572156489,0.07713786218443676,-0.1329606664941373,0.02326274803076827,0.03439770594279319,0.09376968394584687,-0.018707461576481267,-0.050965778421284934,-0.028289587753034848,-0.050969020448327865,-0.03344850819500633,0.02493739426853898,0.06394452047028583,-0.0006143992826182003,-0.18493509009135328,-0.0226157173231652,0.0702227464713148,0.020651989127188145,-0.04276843703623601,0.1795337585621241,-0.024787208108238527,0.061461266651249714,0.06112417689964816,0.11183873846437566,0.08821067079057134,-0.02858279440901069,0.1920043955361678,0.1764275544042323,0.19374513617234784,-0.037381295130033944,-0.016262169628020504,-0.03637743394661412,-0.0038103354121311046,0.03097358080389791,-0.04733934159131938,-0.06925420876682613,-0.06273188112473302,-0.0656851847868487,-0.06823797150473726,0.04292442126252426,0.07461466710936993,0.01617260891618387,0.0501953721396595,0.031863580325858155,0.015436764707007129,-0.030429100150085528,0.032982797602456704,0.03287575564860929,-0.0323459461621245,0.01830643624713312,-0.028781817270745105,0.03515896765759825,-0.0453279719353843,0.04036473101312543,0.04626321512932541,0.020825729317218756,0.03645561663769611,0.019180497121972277,-0.0018406627169780605,-0.01752382020286185,-0.011086299279071447,-0.011086299282703828
weight,-0.036695961512873354,-0.1252286089227784,-0.045531835026096416,1.0,0.32688849122315505,0.8370031204547292,0.6411242990985914,0.8742726876025951,0.9359547106921063,0.08850718423015388,0.15224814022700867,0.19216475975852002,0.18527619397568404,0.12957983762347694,0.18527224361923994,0.019596471517299117,-0.25520756590899557,0.11315812354120393,-0.042319746201896886,0.4072288293238629,0.258860521306847,0.0684282586131355,0.07705779106235441,0.17485526241694635,-0.11500673978017294,-0.2328873506976084,0.10942121695544679,0.10915928452712728,-0.0018737515960272648,0.00019532983163673566,-0.04057332178370965,0.11165276243304402,0.14168148346978132,0.11739371999749362,-0.19093201689789097,-0.23532210853689892,-0.059542828682587756,0.13158837883353142,0.18188628523247483,-0.030579968618333238,0.08161024657059097,0.12336493878679392,0.05892168348365602,0.07845931448247659,0.09825470928597681,0.07252001652338731,0.060898726886720045,0.038712979219903146,-0.12227810868984526,0.023384874369179416,-0.016018648822062095,0.010558950516227563,-0.038508358052156334,0.039016991519310484,0.0032771027959450465,-0.00870678450963524,0.018477995741264002,-0.046462978637590815,0.018799249909843434,-0.012444037991632403,-0.007941833054444828,-0.01453837537861171,-0.03971510296088482,-0.029843818954101202,-0.060772419261535884,-0.05053864476523231,-0.05053864476050746
height,-0.035998779808700254,-0.09949594427139453,0.18435920213412468,0.32688849122315505,1.0,0.12316686615172495,0.4916488897552519,-0.16015762904392924,0.630067225183938,0.02042655861042298,0.20098024525348618,0.10547971269344522,-0.009871807747387442,0.0033689637584295674,-0.009874484379036704,0.012404202826269578,-0.2555704847063033,0.04589905604749929,-0.06829356607013048,-0.40264608575482574,-0.18027421538559374,0.01756463033630551,0.04066864619069352,-0.014198360888206365,0.1425010876616135,-0.20648542123018349,0.41059173559974843,0.4101161080368649,0.01586695231811871,-0.05564481589803608,-0.02551640120434481,0.6840885422926253,0.6472401604895461,0.6882672018883867,-0.16953697564880715,-0.14666574616237535,-0.1564483514601294,-0.1147847550264168,0.20988892048285096,-0.06012606701236445,-0.20586514273750453,-0.22376645606136722,-0.1678754485303618,-0.1969185391366853,0.12727310674494882,0.09014014859815714,0.1157349234217634,-0.04330603920795744,0.09451708660578068,-0.048684147254675875,0.11711852413757745,-0.10000829372031304,-0.05722073252065103,0.05887507665653652,-0.09501569833989588,0.1154557964405099,-0.07116035188796763,0.03773701457426076,-0.06740186320304849,-0.08691447886392181,-0.03943261600273007,-0.07243191523845226,0.06527659336154687,0.0044902944021765236,0.05371577382608864,-0.07440859705832839,-0.0744085970600343
waist,-0.05101302449731661,0.04632046696461186,-0.06326265572156489,0.8370031204547292,0.12316686615172495,1.0,0.5690922819521314,0.8149772088626175,0.7375502524863371,0.13049129995051334,0.09539609135425627,0.15989239269452687,0.258787156584696,0.18943106434438525,0.2587843667415592,0.04030479103964276,-0.22063988966130688,0.17844790457071244,0.009375264344837528,0.46333922537864014,0.27891198881912377,0.10803307618315189,0.09886762747993559,0.2518275902389572,-0.08451738399990039,-0.2400888531293807,0.042639289740105765,0.0425534028009628,-0.02768934506345906,-0.047606953163065666,-0.03376285482373862,-0.096895821971369,-0.07011786830317071,-0.09437855329276044,-0.20201049607896596,-0.2602866183317156,-0.006164952499242309,0.17565381985859307,0.15509152050556782,-0.011043378559736786,0.1503275545368981,0.20051252550608634,0.1185283259388336,0.14497316061973786,0.09751667238224287,0.01698227581224214,0.02236743277893597,0.007628059099342563,-0.12062119129481774,0.059516569137355375,-0.08714808704253166,0.08503100157168435,0.03491275283333922,-0.0352748868108574,0.060326262907419985,-0.08942577807307862,0.08680336645388817,-0.07361748004870347,0.07845188886912846,0.0565186530582778,0.01739232892994854,0.04114024611664795,-0.11347241381501627,-0.03660871585651245,-0.1107559550839209,-0.020850620066349506,-0.020850620060730986
neck,-0.04431689399021264,-0.026400134856636042,0.07713786218443676,0.6411242990985914,0.4916488897552519,0.5690922819521314,1.0,0.4221894017399215,0.7140010397877145,0.14640658679101737,0.20597810339588518,0.18941304515732557,0.2073941867454179,0.18343335165556598,0.20739289596620078,0.0620581955608534,-0.40151634431178573,0.24292809382116806,-0.018689142323639753,-0.0605254125282537,0.045297004425703426,0.09125741698705613,0.1567044634295794,0.16446744302981808,0.0924533258286929,-0.3731583878108276,0.36457348484032626,0.3641690101539895,-0.024618833073969955,-0.09803766087719264,-0.0490591378112722,0.3012841862426739,0.3066820295958951,0.3068503303960269,-0.19826934760451428,-0.23325449995995634,-0.07082858417009459,0.07349255513463886,0.22970624937179995,-0.10501777062297,-0.07932304444205611,-0.03952457244964967,-0.08405169540290784,-0.07856545640371027,0.231893498840016,0.06654048386513686,0.06845572908510691,-0.04277561658820087,0.001982265770602113,0.013046034123622116,-0.007972603199349112,0.020652454834954134,-0.004623887703720261,0.00563354090990959,0.004778812623136792,-0.01089061878295082,0.0204818694148637,-0.045715019439454836,0.02624469729656262,-0.015801346118107254,-0.023190717802392596,-0.004494774394978215,-0.04413565217338289,-0.03891419965658594,-0.05986142975228118,-0.020586551320023842,-0.020586551319683406
BMI,-0.021492905399955835,-0.07867658197812671,-0.1329606664941373,0.8742726876025951,-0.16015762904392924,0.8149772088626175,0.4221894017399215,1.0,0.6574645219266514,0.08030772312777565,0.05510474348701461,0.14835942972497865,0.20023452877833373,0.13437963162313743,0.2002321836525416,0.013759515662097023,-0.13711117053217836,0.09356036925662642,-0.010605888963078503,0.6392282780718005,0.36615580550602816,0.06628746534744988,0.05990348568395691,0.19106002130415742,-0.1861439946997029,-0.14376332722840576,-0.0905936597568113,-0.0906806300182125,-0.009775739752974098,0.027356616862581593,-0.030027059465238853,-0.23153429215405827,-0.18273085277953616,-0.22776834305276253,-0.11976498920720009,-0.17763831104536829,0.015355592822644145,0.19309833942540153,0.08863715298156298,0.0007042447304625507,0.18851317409682578,0.24084297993791773,0.1474822723036411,0.18150079930709348,0.039838521171487375,0.03007625995803339,0.004207745644888121,0.0603831581070819,-0.17390640392139092,0.048318547391064635,-0.07777307553318036,0.06403929810175146,-0.008618508574092828,0.008284227373881438,0.055649804738656015,-0.07164826850802096,0.05874781124447247,-0.06867543889980257,0.05441527007939502,0.03239730161361944,0.01045101735375128,0.021910957846573164,-0.0780180646697121,-0.029297483920619743,-0.09302766697697865,-0.015596612361439496,-0.015596612356215457
bsa,-0.04295492964215609,-0.13133181460491303,0.02326274803076827,0.9359547106921063,0.630067225183938,0.7375502524863371,0.7140010397877145,0.6574645219266514,1.0,0.08124911893091158,0.1963595263313139,0.19951684007515835,0.1581594579711509,0.1165685396420158,0.15815544642026944,0.02556511849429245,-0.3120257923012566,0.11942543471966298,-0.0554644950502631,0.1888296491079221,0.14465003621337155,0.059777468605297084,0.08110439838771032,0.13965654819655104,-0.045783304726544016,-0.2768723925458436,0.242987030244772,0.24260250766112507,-0.0027900017668422584,-0.02801153050280516,-0.042425235293690425,0.33814823036118813,0.3508477469487504,0.3444541750468148,-0.2159132554525252,-0.24760763356891444,-0.10344084193491715,0.0642728999569816,0.2292921119705654,-0.04405114858073952,-0.005840577003897735,0.020837276780224748,-0.01033485477085697,-0.005207512436546168,0.13169196093658922,0.08864447050091012,0.09013672843281512,0.012808069139019619,-0.06357494481501429,0.0006060200088697876,0.030442563497405827,-0.029781781066992134,-0.053916765365986156,0.054923370168681256,-0.032732111752093646,0.036136182549623586,-0.011270975846604485,-0.02505695556341714,-0.010136149248910643,-0.04155587717926903,-0.02028517800323149,-0.03820177062524759,-0.007415631912217719,-0.02002670081922691,-0.029341410109401916,-0.0680111652825466,-0.0680111652795914
sbp,-0.0012904813473793514,0.33232975211039606,0.03439770594279319,0.08850718423015388,0.02042655861042298,0.13049129995051334,0.14640658679101737,0.08030772312777565,0.08124911893091158,1.0,0.537281988651735,-0.060371417909047646,0.13267461329939978,0.14281279814229494,0.13267352620675818,0.08054730837992548,0.007807707391526102,0.10701292321883117,0.10922687798808595,-0.005968600969923756,0.0047243283326581335,0.1588224260931677,0.06242747398932111,0.18110102202437325,0.08452061490643434,0.045709175414422744,0.08522276268803661,0.08575834476206963,-0.12065312674337773,-0.17779308119333745,-0.002571596274924508,-0.1298398945606762,-0.15925095136904532,-0.13799617947153617,-0.099438701105537,-0.10651570034271438,0.0232211279935364,0.033729779401851685,0.08253562483077354,0.06658317548422603,0.11129205742645593,0.11114077494825685,0.112860858804563,0.11231235259596786,0.24847579931023744,-0.051600117385469275,-0.05599658183324121,-0.09320008551819686,0.052057648059213264,0.026323727906375334,-0.08374285639772587,0.0870857247063172,0.0816829707272571,-0.0814494622837078,0.050917976544542644,-0.08273915546435794,0.09026234387359695,-0.049514124921497274,0.08913982233475191,0.05681242348687144,0.006925778523486107,0.0660866329528264,-0.07029275725810352,-0.04114758682763348,-0.06764723336224328,-0.018642861959453964,-0.018642861962859542
